num,kmh_mph,mph_kmh,kmh_kms,kmh_mh,kmh_ms,kmh_fph,kmh_fps,kmh_nmph,kmh_nmps,kmh_yph,kmh_yps,kmh_mach,kmh_knots,mph_mps,mph_mh,mph_ms,mph_fph,mph_fps,mph_nmph,mph_nmps,mph_yph,mph_yps,mph_mach,mph_knots,kmh_mph1,kmh_mph2,kmh_mph3,kmh_mph4,kmh_mph5,kmh_mph6,kmh_mph7,kmh_mph8,kmh_mph9,mph_kmh1,mph_kmh2,mph_kmh3,mph_kmh4,mph_kmh5,mph_kmh6,mph_kmh7,mph_kmh8,mph_kmh9
23,14.291533,37.014912,0.006388889,23000,6.388888889,75459.32,20.96092222,12.4190064,0.003449724,25153.10586,6.98697385,0.019284301,12.4190064,0.006388889,37014.912,10.28192,121440,33.73333333,19.986448,0.005551791,40480,11.24444444,0.029969,19.986448,14.3536701,14.4158072,14.4779443,14.5400814,14.6022185,14.6643556,14.7264927,14.7886298,14.8507669,37.1758464,37.3367808,37.4977152,37.6586496,37.819584,37.9805184,38.1414528,38.3023872,38.4633216
24,14.912904,38.624256,0.006666667,24000,6.666666667,78740.16,21.87226667,12.9589632,0.003599712,26246.71916,7.290755322,0.020122749,12.9589632,0.006666667,38624.256,10.72896,126720,35.2,20.855424,0.005793173,42240,11.73333333,0.031272,20.855424,14.9750411,15.0371782,15.0993153,15.1614524,15.2235895,15.2857266,15.3478637,15.4100008,15.4721379,38.7851904,38.9461248,39.1070592,39.2679936,39.428928,39.5898624,39.7507968,39.9117312,40.0726656
25,15.534275,40.2336,0.006944444,25000,6.944444444,82021,22.78361111,13.49892,0.0037497,27340.33246,7.594536794,0.020961197,13.49892,0.006944444,40233.6,11.176,132000,36.66666667,21.7244,0.006034556,44000,12.22222222,0.032575,21.7244,15.5964121,15.6585492,15.7206863,15.7828234,15.8449605,15.9070976,15.9692347,16.0313718,16.0935089,40.3945344,40.5554688,40.7164032,40.8773376,41.038272,41.1992064,41.3601408,41.5210752,41.6820096
26,16.155646,41.842944,0.007222222,26000,7.222222222,85301.84,23.69495556,14.0388768,0.003899688,28433.94576,7.898318266,0.021799645,14.0388768,0.007222222,41842.944,11.62304,137280,38.13333333,22.593376,0.006275938,45760,12.71111111,0.033878,22.593376,16.2177831,16.2799202,16.3420573,16.4041944,16.4663315,16.5284686,16.5906057,16.6527428,16.7148799,42.0038784,42.1648128,42.3257472,42.4866816,42.647616,42.8085504,42.9694848,43.1304192,43.2913536
27,16.777017,43.452288,0.0075,27000,7.5,88582.68,24.6063,14.5788336,0.004049676,29527.55905,8.202099737,0.022638092,14.5788336,0.0075,43452.288,12.07008,142560,39.6,23.462352,0.00651732,47520,13.2,0.035181,23.462352,16.8391541,16.9012912,16.9634283,17.0255654,17.0877025,17.1498396,17.2119767,17.2741138,17.3362509,43.6132224,43.7741568,43.9350912,44.0960256,44.25696,44.4178944,44.5788288,44.7397632,44.9006976
28,17.398388,45.061632,0.007777778,28000,7.777777778,91863.52,25.51764444,15.1187904,0.004199664,30621.17235,8.505881209,0.02347654,15.1187904,0.007777778,45061.632,12.51712,147840,41.06666667,24.331328,0.006758702,49280,13.68888889,0.036484,24.331328,17.4605251,17.5226622,17.5847993,17.6469364,17.7090735,17.7712106,17.8333477,17.8954848,17.9576219,45.2225664,45.3835008,45.5444352,45.7053696,45.866304,46.0272384,46.1881728,46.3491072,46.5100416
29,18.019759,46.670976,0.008055556,29000,8.055555556,95144.36,26.42898889,15.6587472,0.004349652,31714.78565,8.809662681,0.024314988,15.6587472,0.008055556,46670.976,12.96416,153120,42.53333333,25.200304,0.007000084,51040,14.17777778,0.037787,25.200304,18.0818961,18.1440332,18.2061703,18.2683074,18.3304445,18.3925816,18.4547187,18.5168558,18.5789929,46.8319104,46.9928448,47.1537792,47.3147136,47.475648,47.6365824,47.7975168,47.9584512,48.1193856
30,18.64113,48.28032,0.008333333,30000,8.333333333,98425.2,27.34033333,16.198704,0.00449964,32808.39895,9.113444153,0.025153436,16.198704,0.008333333,48280.32,13.4112,158400,44,26.06928,0.007241467,52800,14.66666667,0.03909,26.06928,18.7032671,18.7654042,18.8275413,18.8896784,18.9518155,19.0139526,19.0760897,19.1382268,19.2003639,48.4412544,48.6021888,48.7631232,48.9240576,49.084992,49.2459264,49.4068608,49.5677952,49.7287296
31,19.262501,49.889664,0.008611111,31000,8.611111111,101706.04,28.25167778,16.7386608,0.004649628,33902.01225,9.417225624,0.025991884,16.7386608,0.008611111,49889.664,13.85824,163680,45.46666667,26.938256,0.007482849,54560,15.15555556,0.040393,26.938256,19.3246381,19.3867752,19.4489123,19.5110494,19.5731865,19.6353236,19.6974607,19.7595978,19.8217349,50.0505984,50.2115328,50.3724672,50.5334016,50.694336,50.8552704,51.0162048,51.1771392,51.3380736
32,19.883872,51.499008,0.008888889,32000,8.888888889,104986.88,29.16302222,17.2786176,0.004799616,34995.62555,9.721007096,0.026830332,17.2786176,0.008888889,51499.008,14.30528,168960,46.93333333,27.807232,0.007724231,56320,15.64444444,0.041696,27.807232,19.9460091,20.0081462,20.0702833,20.1324204,20.1945575,20.2566946,20.3188317,20.3809688,20.4431059,51.6599424,51.8208768,51.9818112,52.1427456,52.30368,52.4646144,52.6255488,52.7864832,52.9474176
